Species,threshold
Abutilon_theophrasti,0.673943968
Agrostemma_githago,0.590569087
Albizia_julibrissin,0.496018153
Allamanda_cathartica,0.038873796
Anagallis_arvensis,0.461291086
Anemone_canadensis,0.292589552
Anemone_cylindrica,0.145277633
Anemone_hepatica,0.71927694
Anemone_quinquefolia,0.741463953
Anemone_virginiana,0.66165106
Aquilegia_canadensis,0.720758609
Arisaema_dracontium,0.570801118
Arisaema_triphyllum,0.913749212
Aristolochia_macrophylla,0.211431239
Aristolochia_serpentaria,0.271600624
Asarum_canadense,0.661324049
Asemeia_violacea,0.402686656
Asimina_angustifolia,0.073893719
Asimina_incana,0.105069504
Asimina_obovata,0.204553629
Asimina_parviflora,0.378719817
Asimina_pygmea,0.175019629
Asimina_reticulata,0.053962167
Asimina_spatulata,0.133992861
Asimina_triloba,0.611999789
Bidens_vulgata,0.484150331
Bignonia_capreolata,0.25786008
Calopogon_barbatus,0.168140422
Calopogon_pallidus,0.169377967
Calopogon_tuberosus,0.627492832
Calycanthus_floridus,0.401750028
Calystegia_catesbeiana,0.080236418
Calystegia_sepium,0.717312467
Calystegia_silvatica,0.249762723
Calystegia_spithamaea,0.319793312
Campsis_radicans,0.657310376
Canna_flaccida,0.195137386
Catalpa_bignonioides,0.339118892
Catalpa_speciosa,0.3756105
Catharanthus_roseus,0.095775226
Celastrus_orbiculatus,0.465531356
Centaurea_stoebe,0.490301906
Centrosema_virginianum,0.316775529
Chamaecrista_fasciculata,0.581795612
Chamaecrista_nictitans,0.517317987
Chimaphila_umbellata,0.443172453
Cirsium_arvense,0.525555779
Cirsium_discolor,0.456121284
Cladrastis_kentukea,0.140284879
Claytonia_caroliniana,0.508818114
Claytonia_virginica,0.52796444
Clematis_crispa,0.357876366
Clematis_occidentalis,0.326262987
Clematis_reticulata,0.210506739
Clematis_viorna,0.28834505
Clematis_virginiana,0.722899975
Clinopodium_coccineum,0.075523494
Clintonia_borealis,0.419447896
Clintonia_umbellulata,0.284943754
Clitoria_mariana,0.363758943
Coreopsis_auriculata,0.298103431
Coreopsis_basalis,0.190648728
Coreopsis_gladiata,0.385650617
Coreopsis_grandiflora,0.176853728
Coreopsis_lanceolata,0.659745819
Coreopsis_leavenworthii,0.244305079
Coreopsis_linifolia,0.322711304
Coreopsis_major,0.374142222
Coreopsis_nudata,0.095374537
Coreopsis_rosea,0.127975701
Coreopsis_tinctoria,0.481688011
Coreopsis_tripteris,0.197653719
Coreopsis_verticillata,0.414944096
Crinum_americanum,0.097758334
Datura_stramonium,0.656447603
Dicentra_canadensis,0.345356503
Dicentra_cucullaria,0.607232464
Dirca_palustris,0.514187391
Distimake_dissectus,0.204763219
Dodecatheon_meadia,0.148041839
Erythronium_americanum,0.739522155
Erythronium_umbilicatum,0.232643082
Eustoma_exaltatum,0.075272289
Galactia_regularis,0.346997143
Gelsemium_rankinii,0.112280973
Gelsemium_sempervirens,0.509227931
Geranium_maculatum,0.681393606
Geranium_robertianum,0.266837154
Geum_aleppicum,0.316654291
Geum_canadense,0.614978354
Geum_laciniatum,0.462599595
Geum_macrophyllum,0.167377838
Geum_peckii,0.047582622
Geum_rivale,0.383821852
Geum_virginianum,0.370086726
Gordonia_lasianthus,0.296645643
Halesia_carolina,0.15633725
Halesia_diptera,0.115115658
Halesia_tetraptera,0.059524559
Helenium_amarum,0.445195119
Helenium_autumnale,0.623948902
Helenium_flexuosum,0.515453474
Helenium_pinnatifidum,0.180114788
Helenium_vernale,0.168343904
Helianthus_angustifolius,0.375608489
Helianthus_annuus,0.56075051
Helianthus_atrorubens,0.230212203
Helianthus_debilis,0.152498018
Helianthus_decapetalus,0.671431088
Helianthus_divaricatus,0.559931692
Helianthus_giganteus,0.223854414
Helianthus_hirsutus,0.537192707
Helianthus_laetiflorus,0.2206977
Helianthus_radula,0.15690448
Helianthus_strumosus,0.576997079
Hemerocallis_fulva,0.67320743
Hexastylis_arifolia,0.439256321
Hexastylis_heterophylla,0.191927744
Hexastylis_shuttleworthii,0.027184803
Hexastylis_virginica,0.319773097
Hibiscus_aculeatus,0.293526114
Hibiscus_laevis,0.172706576
Hibiscus_moscheutos,0.55426865
Hibiscus_syriacus,0.4075962
Hibiscus_trionum,0.385094606
Houstonia_caerulea,0.841278854
Houstonia_purpurea,0.518610343
Houstonia_pusilla,0.300096525
Hypericum_ascyron,0.185440196
Illicium_floridanum,0.081123444
Impatiens_capensis,0.819625564
Impatiens_pallida,0.561352558
Ionactis_linariifolius,0.499666794
Ipomoea_alba,0.115795682
Ipomoea_coccinea,0.206403257
Ipomoea_cordatotriloba,0.258196531
Ipomoea_hederacea,0.447534039
Ipomoea_hederifolia,0.272292115
Ipomoea_indica,0.097740925
Ipomoea_lacunosa,0.379350054
Ipomoea_pandurata,0.468645827
Ipomoea_pescaprae,0.097560208
Ipomoea_purpurea,0.589938561
Ipomoea_quamoclit,0.16314437
Ipomoea_sagittata,0.153991044
Iris_cristata,0.369581907
Iris_hexagona,0.080422132
Iris_prismatica,0.187780144
Iris_pseudacorus,0.548331867
Iris_verna,0.278785224
Iris_versicolor,0.4893833
Iris_virginica,0.502421327
Lathyrus_japonicus,0.11421252
Lathyrus_palustris,0.217548292
Leucaena_leucocephala,0.031473695
Lilium_canadense,0.483657799
Lilium_catesbaei,0.302842581
Lilium_philadelphicum,0.337115322
Lilium_superbum,0.307784692
Linnaea_borealis,0.336097188
Lobelia_dortmanna,0.130767497
Lobelia_flaccidifolia,0.067590082
Lobelia_glandulosa,0.267451818
Lobelia_homophylla,0.084133789
Lobelia_kalmii,0.249704665
Lonicera_bella,0.339464378
Lonicera_canadensis,0.354130852
Lonicera_japonica,0.625975758
Lonicera_sempervirens,0.621189412
Maianthemum_stellatum,0.514437951
Maianthemum_trifolium,0.296885194
Malus_pumila,0.573614422
Malva_neglecta,0.475138036
Menyanthes_trifoliata,0.32101507
Mimosa_microphylla,0.380072706
Mimosa_quadrivalvis,0.312365244
Mimosa_strigillosa,0.13664669
Mimulus_alatus,0.347536836
Mimulus_ringens,0.674863936
Mitchella_repens,0.900108124
Moneses_uniflora,0.386259629
Narcissus_poeticus,0.161733952
Narcissus_pseudonarcissus,0.221965327
Nelumbo_lutea,0.264631059
Nothoscordum_bivalve,0.302716516
Nuphar_lutea,0.289371971
Nymphaea_odorata,0.779022932
Oenothera_perennis,0.456389189
Opuntia_humifusa,0.341742451
Opuntia_megacantha,0.038954491
Opuntia_pusilla,0.142968074
Opuntia_stricta,0.11758176
Ornithogalum_umbellatum,0.570187008
Orobanche_uniflora,0.571787165
Orthilia_secunda,0.375991894
Oxalis_corniculata,0.605410909
Oxalis_debilis,0.169014747
Oxalis_dillenii,0.584834869
Oxalis_grandis,0.24614878
Oxalis_montana,0.491855097
Oxalis_rubra,0.084665036
Oxalis_violacea,0.466566874
Parnassia_glauca,0.262618935
Passiflora_incarnata,0.460372447
Passiflora_lutea,0.264186979
Passiflora_suberosa,0.104743159
Paulownia_tomentosa,0.374006883
Phaseolus_polystachios,0.197294937
Phlox_amoena,0.225548125
Phlox_carolina,0.173440917
Phlox_divaricata,0.443459225
Phlox_drummondii,0.211182409
Phlox_floridana,0.047319691
Phlox_glaberrima,0.308523514
Phlox_maculata,0.403714475
Phlox_nivalis,0.210291442
Phlox_paniculata,0.543427037
Phlox_pilosa,0.154981597
Phlox_stolonifera,0.236691187
Phlox_subulata,0.479542455
Physalis_angulata,0.298491399
Physalis_angustifolia,0.132409355
Physalis_heterophylla,0.630933116
Physalis_longifolia,0.423185855
Physalis_pubescens,0.286204591
Physalis_walteri,0.093580302
Pinguicula_caerulea,0.115824161
Pinguicula_lutea,0.222012893
Pinguicula_pumila,0.160805775
Pogonia_ophioglossoides,0.68470133
Polygonatum_biflorum,0.67684498
Polygonatum_pubescens,0.433583848
Primula_mistassinica,0.128259654
Pyrola_americana,0.469994548
Pyrola_asarifolia,0.184489989
Pyrola_chlorantha,0.373510826
Pyrola_elliptica,0.542196824
Rhizophora_mangle,0.078447832
Rosa_blanda,0.675196586
Rosa_carolina,0.720283953
Rosa_gallica,0.123246883
Rosa_nitida,0.15529838
Rosa_palustris,0.773702492
Rosa_virginiana,0.475188173
Rubus_arenicola,0.069617605
Rubus_argutus,0.371363803
Rubus_chamaemorus,0.031303275
Rubus_cuneifolius,0.300824792
Rubus_elegantulus,0.093551902
Rubus_frondosus,0.169162547
Rubus_laciniatus,0.130273547
Rubus_occidentalis,0.692822915
Rubus_odoratus,0.57398544
Rubus_pubescens,0.434931062
Rubus_recurvicaulis,0.17266128
Rubus_semisetosus,0.191409888
Rubus_trivialis,0.385245559
Rubus_vermontanus,0.134192259
Rudbeckia_fulgida,0.366386352
Rudbeckia_hirta,0.905156909
Rudbeckia_laciniata,0.729567194
Rudbeckia_triloba,0.378505794
Ruellia_caroliniensis,0.457640797
Sabatia_angularis,0.360097679
Sabatia_bartramii,0.111006846
Sabatia_brevifolia,0.214554751
Sabatia_calycina,0.117130559
Sabatia_campanulata,0.235850405
Sabatia_difformis,0.254862952
Sabatia_dodecandra,0.130792334
Sabatia_grandiflora,0.217586726
Sabatia_stellaris,0.212512155
Sagittaria_australis,0.166902888
Sagittaria_calycina,0.187529929
Sagittaria_cuneata,0.17193836
Sagittaria_engelmanniana,0.15007803
Sagittaria_lancifolia,0.201267374
Sagittaria_latifolia,0.916826124
Sagittaria_montevidensis,0.198195136
Sagittaria_rigida,0.251384469
Sagittaria_teres,0.110142822
Sarracenia_flava,0.387950003
Sarracenia_minor,0.198162386
Sarracenia_psittacina,0.197712811
Sarracenia_purpurea,0.648099534
Sarracenia_rubra,0.16713208
Scheuchzeria_palustris,0.23109605
Senna_obtusifolia,0.442768942
Senna_occidentalis,0.150925655
Silene_caroliniana,0.310549376
Silene_dioica,0.181962208
Silene_latifolia,0.634499526
Silene_noctiflora,0.411637338
Silene_virginica,0.324232202
Sisyrinchium_angustifolium,0.828107372
Sisyrinchium_atlanticum,0.440440509
Sisyrinchium_fuscatum,0.239543477
Sisyrinchium_montanum,0.359856721
Sisyrinchium_mucronatum,0.509500565
Sisyrinchium_nashii,0.211712182
Sisyrinchium_rosulatum,0.221475902
Solanum_americanum,0.379297294
Solanum_carolinense,0.788549888
Solanum_dulcamara,0.575680241
Solanum_lycopersicum,0.337900398
Solanum_nigrum,0.161434564
Solanum_ptycanthum,0.703784771
Solanum_rostratum,0.346564179
Staphylea_trifolia,0.482003423
Stewartia_malacodendron,0.162967685
Stewartia_ovata,0.067985345
Styrax_americanus,0.333555905
Styrax_grandifolius,0.242679858
Tribulus_cistoides,0.063121092
Trientalis_borealis,0.249921601
Trillium_catesbaei,0.271300446
Trillium_cernuum,0.393093253
Trillium_cuneatum,0.138381724
Trillium_erectum,0.419839403
Trillium_grandiflorum,0.450794862
Trillium_maculatum,0.110129654
Trillium_rugelii,0.126251437
Trillium_undulatum,0.444806922
Trillium_vaseyi,0.023152959
Urena_lobata,0.136308825
Utricularia_cornuta,0.449976226
Utricularia_juncea,0.249174955
Uvularia_grandiflora,0.252584606
Uvularia_perfoliata,0.553099869
Uvularia_puberula,0.287870252
Uvularia_sessilifolia,0.745350785
Verbascum_blattaria,0.641388661
Vigna_luteola,0.116724243
Viola_adunca,0.323412097
Viola_affinis,0.911259107
Viola_bicolor,0.487826278
Viola_brittoniana,0.169193232
Viola_canadensis,0.372828258
Viola_hastata,0.180124944
Viola_hirsutula,0.318462037
Viola_labradorica,0.672175854
Viola_lanceolata,0.548266764
Viola_nephrophylla,0.146548565
Viola_odorata,0.129158606
Viola_pedata,0.385977116
Viola_renifolia,0.297680084
Viola_rostrata,0.304797101
Viola_rotundifolia,0.461760916
Viola_selkirkii,0.299620662
Viola_septemloba,0.301250082
Viola_septentrionalis,0.346331107
Viola_striata,0.431020484
Viola_tricolor,0.320040218
Viola_triloba,0.114840194
Viola_tripartita,0.149940021
Viola_walteri,0.164039904
Ximenia_americana,0.193399769
Zephyranthes_atamasca,0.33638417
Zephyranthes_simpsonii,0.056464266
Zephyranthes_treatiae,0.18771412
