Species,threshold
Abutilon_theophrasti,0.6520372
Agrostemma_githago,0.4866627
Albizia_julibrissin,0.4960011
Allamanda_cathartica,0.05786036
Anagallis_arvensis,0.5379656
Anemone_canadensis,0.324711
Anemone_cylindrica,0.1905143
Anemone_hepatica,0.655547399
Anemone_quinquefolia,0.6936746
Anemone_virginiana,0.6960634
Aquilegia_canadensis,0.764231
Arisaema_dracontium,0.4617482
Arisaema_triphyllum,0.8938852
Aristolochia_macrophylla,0.2595713
Aristolochia_serpentaria,0.3087106
Asarum_canadense,0.5931512
Asemeia_violacea,0.3444742
Asimina_angustifolia,0.09259154
Asimina_incana,0.10874433
Asimina_obovata,0.20886278
Asimina_parviflora,0.3853412
Asimina_pygmea,0.192787139
Asimina_reticulata,0.049768015
Asimina_spatulata,0.15308515
Asimina_triloba,0.561045541
Bidens_vulgata,0.4468901
Bignonia_capreolata,0.265718976
Calopogon_barbatus,0.192247399
Calopogon_pallidus,0.1657644
Calopogon_tuberosus,0.6100273
Calycanthus_floridus,0.4321379
Calystegia_catesbeiana,0.074444696
Calystegia_sepium,0.747854431
Calystegia_silvatica,0.1916558
Calystegia_spithamaea,0.4231786
Campsis_radicans,0.6908472
Canna_flaccida,0.196380974
Catalpa_bignonioides,0.2670383
Catalpa_speciosa,0.4369362
Catharanthus_roseus,0.122753632
Celastrus_orbiculatus,0.5442412
Centaurea_stoebe,0.5032902
Centrosema_virginianum,0.3119079
Chamaecrista_fasciculata,0.6345915
Chamaecrista_nictitans,0.4999669
Chimaphila_umbellata,0.478102
Cirsium_arvense,0.6049115
Cirsium_discolor,0.4461768
Cladrastis_kentukea,0.1036388
Claytonia_caroliniana,0.5331381
Claytonia_virginica,0.5175372
Clematis_crispa,0.259987358
Clematis_occidentalis,0.2858939
Clematis_reticulata,0.20129849
Clematis_viorna,0.3030527
Clematis_virginiana,0.57497784
Clinopodium_coccineum,0.060216204
Clintonia_borealis,0.5590917
Clintonia_umbellulata,0.307423
Clitoria_mariana,0.4215324
