Species,threshold
Abutilon_theophrasti,0.659215973
Agrostemma_githago,0.508683338
Albizia_julibrissin,0.527423005
Allamanda_cathartica,0.045315968
Anagallis_arvensis,0.46219714
Anemone_canadensis,0.344833675
Anemone_cylindrica,0.171050807
Anemone_hepatica,0.562144315
Anemone_quinquefolia,0.746345154
Anemone_virginiana,0.727787236
Aquilegia_canadensis,0.726463856
Arisaema_dracontium,0.574290713
Arisaema_triphyllum,0.922804335
Aristolochia_macrophylla,0.302683754
Aristolochia_serpentaria,0.323409528
Asarum_canadense,0.555742235
Asemeia_violacea,0.437716036
Asimina_angustifolia,0.090827835
Asimina_incana,0.116387366
Asimina_obovata,0.194162366
Asimina_parviflora,0.366821273
Asimina_pygmea,0.207652044
Asimina_reticulata,0.070023824
Asimina_spatulata,0.15750892
Asimina_triloba,0.471664318
Bidens_vulgata,0.464662514
Bignonia_capreolata,0.337245344
Calopogon_pallidus,0.158257142
Calopogon_tuberosus,0.691260641
Calycanthus_floridus,0.399579866
Calystegia_catesbeiana,0.086174924
Calystegia_sepium,0.751455006
Calystegia_silvatica,0.145807728
Calystegia_spithamaea,0.444268936
Campsis_radicans,0.662086764
Canna_flaccida,0.163961909
Catalpa_bignonioides,0.330018796
Catalpa_speciosa,0.384695917
Catharanthus_roseus,0.129192127
Celastrus_orbiculatus,0.562347612
Centaurea_stoebe,0.440902627
Centrosema_virginianum,0.313133341
Chamaecrista_fasciculata,0.584885851
Chamaecrista_nictitans,0.482749868
Chimaphila_umbellata,0.444709065
Cirsium_arvense,0.514736825
Cirsium_discolor,0.401400186
Cladrastis_kentukea,0.140148857
Claytonia_caroliniana,0.544840034
Claytonia_virginica,0.469544083
Clematis_crispa,0.254143852
Clematis_occidentalis,0.32334431
Clematis_reticulata,0.206130116
Clematis_viorna,0.322707216
Clematis_virginiana,0.648231882
Clinopodium_coccineum,0.07608498
Clintonia_borealis,0.588898458
Clintonia_umbellulata,0.271037236
Clitoria_mariana,0.460511749
Coreopsis_auriculata,0.291965341
Coreopsis_basalis,0.193999028
Coreopsis_gladiata,0.389645246
Coreopsis_grandiflora,0.175126861
Coreopsis_lanceolata,0.461448815
Coreopsis_leavenworthii,0.258359023
Coreopsis_linifolia,0.345827933
Coreopsis_major,0.377086476
Coreopsis_nudata,0.095023754
Coreopsis_rosea,0.125993427
Coreopsis_tinctoria,0.415907001
Coreopsis_tripteris,0.203910565
Coreopsis_verticillata,0.409308326
Crinum_americanum,0.09315319
Datura_stramonium,0.628492525
Dicentra_canadensis,0.419703484
Dicentra_cucullaria,0.588113994
Dirca_palustris,0.570522799
Distimake_dissectus,0.189860229
Dodecatheon_meadia,0.110002298
Erythronium_americanum,0.710462375
Erythronium_umbilicatum,0.235564628
Eustoma_exaltatum,0.067659483
Galactia_regularis,0.362498943
Gelsemium_rankinii,0.084668109
Gelsemium_sempervirens,0.563879742
Geranium_maculatum,0.636731341
Geranium_robertianum,0.367028169
Geum_aleppicum,0.448433977
Geum_canadense,0.651425896
Geum_laciniatum,0.505450437
Geum_macrophyllum,0.072298895
Geum_peckii,0.046117812
Geum_rivale,0.358120161
Geum_virginianum,0.328532813
Gordonia_lasianthus,0.392827932
Halesia_carolina,0.160069161
Halesia_diptera,0.122080322
Halesia_tetraptera,0.051086921
Helenium_amarum,0.436847831
Helenium_autumnale,0.637167367
Helenium_flexuosum,0.56512271
Helenium_pinnatifidum,0.178260172
Helenium_vernale,0.17227827
Helianthus_angustifolius,0.269202344
Helianthus_annuus,0.616995073
Helianthus_atrorubens,0.220321312
Helianthus_debilis,0.148989569
Helianthus_decapetalus,0.649728368
Helianthus_divaricatus,0.506602412
Helianthus_giganteus,0.327899832
Helianthus_hirsutus,0.541683551
Helianthus_laetiflorus,0.267570542
Helianthus_radula,0.145085548
Helianthus_strumosus,0.541436433
Hemerocallis_fulva,0.736812439
Hexastylis_arifolia,0.376309015
Hexastylis_heterophylla,0.197384041
Hexastylis_shuttleworthii,0.026575295
Hexastylis_virginica,0.343918079
Hibiscus_aculeatus,0.182399654
Hibiscus_laevis,0.127448657
Hibiscus_moscheutos,0.596599621
Hibiscus_syriacus,0.36518696
Hibiscus_trionum,0.380181264
Houstonia_caerulea,0.738362605
Houstonia_purpurea,0.515779263
Houstonia_pusilla,0.352290149
Hypericum_ascyron,0.204035305
Illicium_floridanum,0.091030685
Impatiens_capensis,0.824364499
Impatiens_pallida,0.540291178
Ionactis_linariifolius,0.511021941
Ipomoea_alba,0.083153875
Ipomoea_coccinea,0.206978546
Ipomoea_cordatotriloba,0.267345206
Ipomoea_hederacea,0.420829141
Ipomoea_hederifolia,0.288644607
Ipomoea_indica,0.088154464
Ipomoea_lacunosa,0.564954387
Ipomoea_pandurata,0.481865975
Ipomoea_pescaprae,0.114760763
Ipomoea_purpurea,0.585407307
Ipomoea_quamoclit,0.155274525
Ipomoea_sagittata,0.170744323
Iris_cristata,0.31489907
Iris_hexagona,0.067396804
Iris_prismatica,0.170559314
Iris_pseudacorus,0.580502469
Iris_verna,0.295812997
Iris_versicolor,0.491770891
Iris_virginica,0.401758614
