Gridcode,Species,Predicted
100001,Abutilon_theophrasti,0.291492923
100001,Lobelia_flaccidifolia,0.002301369
100001,Helianthus_debilis,0.506526208
100001,Solanum_dulcamara,0.058333748
100001,Silene_noctiflora,0.01322212
100001,Ipomoea_hederifolia,0.525550461
100001,Orobanche_uniflora,0.036155498
100001,Anagallis_arvensis,0.397795272
100001,Hibiscus_trionum,0.176258767
100001,Solanum_americanum,0.883785202
100001,Solanum_nigrum,0.026755256
100001,Impatiens_capensis,0.01916536
100001,Ipomoea_lacunosa,0.115363704
100001,Bidens_vulgata,0.014685583
100001,Eustoma_exaltatum,0.695821369
100001,Viola_bicolor,0.03172879
100001,Oxalis_corniculata,0.946222753
100001,Ipomoea_quamoclit,0.693917087
100001,Chamaecrista_fasciculata,0.975534984
100001,Helianthus_annuus,0.559557289
100001,Physalis_angulata,0.630853692
100001,Senna_occidentalis,0.507539634
100001,Malva_neglecta,0.149033867
100001,Phlox_drummondii,0.246083011
100001,Agrostemma_githago,0.008266727
100001,Solanum_rostratum,0.061627931
100001,Coreopsis_basalis,0.058788772
100001,Sabatia_stellaris,0.868632904
100001,Sisyrinchium_rosulatum,0.387682968
100001,Chamaecrista_nictitans,0.862749574
100001,Datura_stramonium,0.239212399
100001,Utricularia_juncea,0.100854675
100001,Houstonia_pusilla,0.00091356
100001,Solanum_carolinense,0.385804916
100001,Ipomoea_purpurea,0.232692367
100001,Helenium_amarum,0.522250474
100001,Utricularia_cornuta,0.470766118
100001,Catharanthus_roseus,0.904902262
100001,Physalis_pubescens,0.322160824
100001,Solanum_lycopersicum,0.54565775
100001,Viola_tricolor,0.023981272
100001,Ipomoea_coccinea,0.008468789
100001,Sabatia_angularis,0.011278564
100001,Sabatia_grandiflora,0.585210866
100001,Rudbeckia_hirta,0.873413385
100001,Pinguicula_pumila,0.666292256
100001,Impatiens_pallida,0.07014075
100001,Coreopsis_tinctoria,0.19414296
100001,Sabatia_brevifolia,0.444738239
100001,Sabatia_bartramii,0.427411864
100001,Ipomoea_hederacea,0.279603124
100001,Oxalis_grandis,0.004587749
100001,Ipomoea_alba,0.907078782
100001,Asemeia_violacea,0.259769696
100001,Ipomoea_indica,0.729959474
100001,Solanum_ptycanthum,0.0433825
100001,Hibiscus_moscheutos,0.219195246
100002,Solanum_nigrum,0.035343315
100002,Helianthus_debilis,0.302008112
100002,Ipomoea_hederifolia,0.553606694
100002,Chamaecrista_fasciculata,0.972784044
100002,Helianthus_annuus,0.644953471
100002,Utricularia_cornuta,0.260911143
100002,Malva_neglecta,0.276661037
100002,Phlox_drummondii,0.1717285
100002,Rudbeckia_hirta,0.898951237
100002,Bidens_vulgata,0.018681552
100002,Solanum_lycopersicum,0.661012321
100002,Abutilon_theophrasti,0.583339938
100002,Chamaecrista_nictitans,0.88021055
100002,Ipomoea_alba,0.89259309
100002,Asemeia_violacea,0.264995282
100002,Utricularia_juncea,0.034328144
100002,Houstonia_pusilla,0.00200479
100002,Anagallis_arvensis,0.50426638
100002,Solanum_americanum,0.831424648
100002,Helenium_amarum,0.626462789
100002,Pinguicula_pumila,0.26303128
100002,Catharanthus_roseus,0.895678393
100002,Coreopsis_basalis,0.024258624
100002,Sabatia_bartramii,0.117888518
100002,Ipomoea_lacunosa,0.205099029
100002,Ipomoea_coccinea,0.023353718
100002,Lobelia_flaccidifolia,0.001626222
100002,Sisyrinchium_rosulatum,0.398572931
100002,Solanum_dulcamara,0.215515348
100002,Silene_noctiflora,0.016782534
100002,Physalis_angulata,0.720058092
100002,Coreopsis_tinctoria,0.301963699
100002,Hibiscus_trionum,0.359609195
100002,Impatiens_pallida,0.175916513
100002,Sabatia_brevifolia,0.142162068
100002,Oxalis_grandis,0.018773797
100002,Hibiscus_moscheutos,0.283516561
100002,Viola_tricolor,0.025440649
100002,Ipomoea_quamoclit,0.687716292
100002,Viola_bicolor,0.095485175
100002,Eustoma_exaltatum,0.462540013
100002,Oxalis_corniculata,0.949677747
100002,Solanum_ptycanthum,0.066021464
100002,Datura_stramonium,0.465065786
100002,Solanum_rostratum,0.086943025
100002,Senna_occidentalis,0.526692195
100002,Ipomoea_hederacea,0.40906543
100002,Solanum_carolinense,0.619543967
100002,Sabatia_angularis,0.030043349
100002,Physalis_pubescens,0.336437333
100002,Ipomoea_purpurea,0.356677698
100002,Orobanche_uniflora,0.057159334
100002,Sabatia_grandiflora,0.200416322
100002,Sabatia_stellaris,0.636031391
100002,Impatiens_capensis,0.092213741
100002,Agrostemma_githago,0.01606848
100002,Ipomoea_indica,0.543161674
100003,Helianthus_annuus,0.436118274
100003,Ipomoea_lacunosa,0.088753207
100003,Chamaecrista_fasciculata,0.956864403
100003,Utricularia_juncea,0.114367339
100003,Chamaecrista_nictitans,0.798356501
100003,Lobelia_flaccidifolia,0.004342952
100003,Utricularia_cornuta,0.421883069
100003,Malva_neglecta,0.050268113
100003,Oxalis_corniculata,0.912080833
100003,Viola_bicolor,0.027754719
100003,Coreopsis_basalis,0.087573432
100003,Viola_tricolor,0.015870745
100003,Phlox_drummondii,0.273032349
100003,Silene_noctiflora,0.005402209
100003,Bidens_vulgata,0.007338938
100003,Solanum_americanum,0.833622428
100003,Rudbeckia_hirta,0.803430135
100003,Pinguicula_pumila,0.734579498
100003,Eustoma_exaltatum,0.530198119
100003,Hibiscus_moscheutos,0.127036882
100003,Helenium_amarum,0.579789709
100003,Oxalis_grandis,0.002115488
100003,Ipomoea_coccinea,0.008278302
100003,Sabatia_angularis,0.012228769
100003,Sabatia_bartramii,0.481154055
100003,Ipomoea_alba,0.868715794
100003,Ipomoea_quamoclit,0.754193206
100003,Solanum_dulcamara,0.010555228
100003,Hibiscus_trionum,0.061842177
100003,Anagallis_arvensis,0.218385492
100003,Impatiens_pallida,0.02319093
100003,Solanum_rostratum,0.034631411
100003,Impatiens_capensis,0.007369494
100003,Ipomoea_hederacea,0.198164994
100003,Catharanthus_roseus,0.859905175
