Gridcode,Altitude
100001,4.522 
100002,4.734 
100003,3.936 
100004,5.599 
100005,8.336 
100006,6.916 
100007,6.865 
100008,5.783 
100009,7.675 
100010,9.434 
100011,11.443 
100012,10.577 
100013,5.883 
100014,7.374 
100015,4.135 
100016,10.577 
100017,12.293 
100018,9.491 
100019,5.749 
100020,9.425 
100021,6.496 
100022,14.890 
100023,16.590 
100024,6.109 
100025,6.425 
100026,10.078 
100027,10.796 
100028,17.246 
100029,24.176 
100030,25.431 
100031,12.613 
100032,12.688 
100033,8.824 
100034,14.061 
100035,35.175 
100036,33.622 
100037,27.913 
100038,21.585 
100039,11.898 
100040,16.172 
100041,41.310 
100042,43.753 
100043,23.269 
100044,21.260 
100045,8.705 
100046,25.679 
100047,39.911 
100048,41.559 
100049,23.201 
100050,18.604 
100051,6.254 
100052,35.044 
100053,33.199 
100054,35.552 
100055,30.313 
100056,14.366 
100057,3.976 
100058,24.685 
100059,26.546 
100060,28.109 
100061,17.205 
100062,10.325 
100063,10.566 
100064,27.194 
100065,29.047 
100066,27.087 
100067,17.022 
100068,10.570 
100069,14.675 
100070,14.066 
100071,27.312 
100072,30.309 
100073,20.175 
100074,12.359 
100075,8.736 
100076,16.376 
100077,19.869 
100078,19.021 
100079,37.177 
100080,44.446 
100081,24.452 
100082,12.873 
100083,8.266 
100084,15.414 
100085,18.588 
100086,17.930 
100087,11.331 
100088,13.766 
100089,26.171 
100090,28.039 
100091,30.015 
100092,40.716 
100093,40.896 
100094,15.950 
100095,12.325 
100096,10.229 
100097,25.223 
100098,11.856 
100099,15.949 
100100,25.026 
100101,38.888 
100102,41.896 
100103,44.266 
100104,32.576 
100105,36.630 
100106,36.814 
100107,33.012 
100108,37.370 
100109,39.690 
100110,31.647 
100111,12.794 
100112,45.635 
100113,40.993 
100114,47.503 
100115,57.719 
100116,46.248 
100117,38.872 
100118,51.091 
100119,48.471 
100120,76.809 
100121,66.896 
100122,56.401 
100123,50.531 
100124,50.784 
100125,44.060 
100126,36.547 
100127,30.699 
100128,8.987 
100129,46.574 
100130,47.615 
100131,81.630 
100132,78.569 
100133,65.727 
100134,63.845 
100135,57.133 
100136,44.220 
100137,30.936 
100138,10.425 
100139,71.480 
100140,63.077 
100141,65.456 
100142,106.083 
100143,89.057 
100144,78.044 
100145,60.441 
100146,47.017 
100147,29.863 
100148,16.326 
100149,6.099 
100150,105.165 
100151,91.614 
100152,76.316 
100153,104.728 
100154,107.069 
100155,94.740 
100156,77.850 
100157,60.874 
100158,44.664 
100159,19.507 
100160,7.988 
100161,123.114 
100162,137.741 
100163,107.965 
100164,98.991 
100165,109.197 
100166,75.702 
100167,62.204 
100168,57.376 
100169,44.585 
100170,32.453 
100171,12.623 
100172,5.461 
100173,114.612 
100174,166.990 
100175,137.980 
100176,116.481 
100177,93.866 
100178,97.192 
100179,71.611 
100180,72.493 
100181,59.542 
100182,41.329 
100183,22.872 
100184,8.918 
100185,148.719 
100186,177.784 
100187,154.828 
100188,135.185 
100189,110.105 
100190,108.619 
100191,82.106 
100192,83.264 
100193,79.304 
100194,55.657 
100195,32.020 
100196,19.500 
100197,5.889 
100198,4.480 
100199,234.576 
100200,241.028 
100201,186.651 
100202,151.170 
100203,133.337 
100204,101.580 
100205,112.490 
100206,92.131 
100207,72.238 
100208,62.434 
100209,38.319 
100210,28.639 
100211,17.994 
100212,11.856 
100213,5.807 
100214,238.285 
100215,249.633 
100216,245.964 
100217,171.188 
100218,158.651 
100219,134.082 
100220,130.867 
100221,116.644 
100222,92.717 
100223,65.170 
100224,64.940 
100225,44.037 
100226,32.830 
100227,25.883 
100228,14.468 
100229,10.414 
100230,274.647 
100231,276.872 
100232,250.635 
100233,207.001 
100234,176.778 
100235,166.763 
100236,164.339 
100237,139.692 
100238,97.442 
100239,107.141 
100240,92.126 
100241,70.016 
100242,46.082 
100243,28.452 
100244,20.646 
100245,14.252 
100246,5.852 
100247,356.584 
100248,340.909 
100249,287.470 
100250,281.274 
100251,256.707 
100252,211.706 
100253,188.995 
100254,161.221 
100255,130.091 
100256,123.207 
100257,157.540 
100258,128.696 
100259,90.020 
100260,52.948 
100261,43.064 
100262,24.644 
100263,18.456 
100264,6.971 
100265,6.438 
100266,268.185 
100267,279.742 
100268,306.887 
100269,319.062 
100270,303.066 
100271,240.948 
100272,206.768 
100273,160.486 
100274,148.701 
100275,157.979 
100276,147.402 
100277,128.220 
100278,87.969 
100279,69.296 
100280,55.264 
100281,39.081 
100282,20.090 
100283,19.157 
100284,18.553 
100285,11.371 
100286,10.152 
100287,230.389 
100288,240.881 
100289,346.411 
100290,381.259 
100291,356.721 
100292,273.604 
100293,237.358 
100294,207.104 
100295,200.876 
100296,175.182 
100297,153.234 
100298,122.806 
100299,127.621 
100300,95.433 
100301,85.280 
100302,51.406 
100303,27.990 
100304,28.225 
100305,27.509 
100306,20.171 
100307,10.100 
100308,8.400 
100309,314.978 
100310,246.112 
100311,414.918 
100312,657.171 
100313,581.027 
100314,446.285 
100315,278.549 
100316,243.240 
100317,249.824 
100318,211.317 
100319,158.675 
100320,150.085 
100321,147.427 
100322,160.381 
100323,120.154 
100324,54.322 
100325,53.472 
100326,46.338 
100327,36.730 
100328,24.046 
100329,19.062 
