Gridcode,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
100001,27.984 ,9.092 ,49.385 ,339.444 ,36.044 ,17.641 ,18.403 ,31.443 ,23.516 ,31.636 ,23.567 ,1179.361 ,179.869 ,51.557 ,47.949 ,434.246 ,162.180 ,351.803 ,164.443 
100002,28.106 ,9.083 ,49.496 ,332.610 ,36.102 ,17.771 ,18.331 ,31.488 ,23.110 ,31.675 ,23.763 ,1270.827 ,207.231 ,51.385 ,49.525 ,466.135 ,168.808 ,364.712 ,170.288 
100003,27.837 ,10.139 ,51.018 ,355.647 ,36.571 ,16.688 ,19.883 ,31.629 ,22.549 ,31.703 ,23.240 ,1234.111 ,187.139 ,51.708 ,48.783 ,453.653 ,164.458 ,388.208 ,168.653 
100004,27.872 ,9.588 ,49.988 ,345.688 ,36.364 ,17.180 ,19.184 ,31.386 ,22.712 ,31.602 ,23.389 ,1354.172 ,216.000 ,52.281 ,49.261 ,494.797 ,173.813 ,401.875 ,181.031 
100005,28.103 ,8.478 ,48.019 ,329.916 ,35.924 ,18.308 ,17.616 ,31.495 ,23.132 ,31.630 ,23.816 ,1435.270 ,245.622 ,56.622 ,48.635 ,526.243 ,191.703 ,394.622 ,202.405 
100006,27.513 ,10.717 ,51.197 ,377.784 ,36.776 ,15.857 ,20.919 ,31.731 ,21.894 ,31.640 ,22.629 ,1254.843 ,191.514 ,52.729 ,48.517 ,489.300 ,168.329 ,434.343 ,169.300 
100007,27.611 ,10.612 ,51.208 ,370.712 ,36.872 ,16.149 ,20.724 ,31.793 ,22.099 ,31.667 ,22.825 ,1287.111 ,195.625 ,53.306 ,46.364 ,479.958 ,172.542 ,414.264 ,177.472 
100008,27.678 ,9.298 ,48.134 ,363.255 ,36.584 ,17.272 ,19.312 ,31.364 ,22.309 ,31.664 ,23.009 ,1385.281 ,207.781 ,53.422 ,45.595 ,488.234 ,179.891 ,412.219 ,191.875 
100009,28.075 ,8.405 ,46.580 ,343.992 ,36.180 ,18.166 ,18.014 ,31.467 ,22.939 ,31.773 ,23.612 ,1524.078 ,239.734 ,73.922 ,40.792 ,514.922 ,232.047 ,399.078 ,239.281 
100010,27.559 ,11.083 ,50.522 ,401.643 ,37.426 ,15.493 ,21.933 ,32.038 ,22.621 ,31.948 ,22.347 ,1288.931 ,192.310 ,50.293 ,47.541 ,524.155 ,181.603 ,477.534 ,182.759 
100011,27.329 ,11.607 ,51.844 ,396.278 ,37.400 ,15.011 ,22.389 ,31.765 ,21.590 ,31.686 ,22.213 ,1288.389 ,197.306 ,52.597 ,46.194 ,509.403 ,177.431 ,448.958 ,180.042 
100012,27.315 ,11.307 ,51.358 ,390.300 ,37.308 ,15.290 ,22.018 ,31.725 ,21.553 ,31.606 ,22.290 ,1316.444 ,193.625 ,54.514 ,42.407 ,485.500 ,184.833 ,423.097 ,191.153 
100013,27.394 ,10.245 ,48.966 ,383.222 ,36.942 ,16.042 ,20.900 ,31.314 ,21.752 ,31.625 ,22.467 ,1412.359 ,196.750 ,58.141 ,39.463 ,479.359 ,200.563 ,419.078 ,210.125 
100014,27.786 ,9.079 ,46.631 ,367.824 ,36.756 ,17.281 ,19.475 ,30.896 ,22.344 ,31.789 ,23.032 ,1543.194 ,233.750 ,73.944 ,37.610 ,512.208 ,239.000 ,405.750 ,251.028 
100015,27.617 ,10.900 ,48.834 ,425.734 ,37.674 ,15.377 ,22.297 ,32.369 ,23.729 ,32.271 ,22.094 ,1296.143 ,187.371 ,44.486 ,47.446 ,532.829 ,188.743 ,500.771 ,200.400 
100016,27.462 ,11.686 ,50.584 ,422.291 ,37.907 ,14.804 ,23.104 ,32.193 ,23.634 ,32.096 ,21.989 ,1316.964 ,196.929 ,48.161 ,47.275 ,542.357 ,185.607 ,494.804 ,193.821 
100017,27.224 ,12.360 ,51.919 ,416.292 ,38.017 ,14.217 ,23.800 ,31.895 ,23.454 ,31.811 ,21.860 ,1291.810 ,197.349 ,51.349 ,44.405 ,509.349 ,182.016 ,445.762 ,192.571 
100018,27.256 ,12.108 ,52.102 ,403.660 ,37.773 ,14.530 ,23.243 ,31.819 ,21.879 ,31.676 ,22.021 ,1274.984 ,181.571 ,51.762 ,39.740 ,466.492 ,186.794 ,410.984 ,187.413 
100019,27.304 ,11.539 ,52.104 ,383.514 ,37.255 ,15.123 ,22.132 ,31.452 ,21.555 ,31.511 ,22.309 ,1382.286 ,179.643 ,58.839 ,35.639 ,462.732 ,207.286 ,422.500 ,207.286 
100020,27.571 ,9.478 ,47.273 ,379.452 ,36.814 ,16.786 ,20.029 ,30.635 ,21.929 ,31.730 ,22.667 ,1521.048 ,229.905 ,72.286 ,36.997 ,513.841 ,233.841 ,409.476 ,233.841 
100021,27.200 ,11.690 ,49.379 ,447.562 ,37.938 ,14.276 ,23.662 ,32.217 ,23.069 ,32.136 ,21.405 ,1283.431 ,181.345 ,41.724 ,44.255 ,509.259 ,194.569 ,481.328 ,214.431 
100022,27.114 ,12.406 ,50.812 ,442.538 ,38.188 ,13.778 ,24.409 ,32.105 ,23.053 ,32.002 ,21.364 ,1298.359 ,191.313 ,46.219 ,44.577 ,519.828 ,187.625 ,475.594 ,203.391 
100023,27.003 ,12.761 ,51.346 ,437.500 ,38.350 ,13.501 ,24.849 ,31.946 ,23.033 ,31.821 ,21.324 ,1267.833 ,189.611 ,49.889 ,43.039 ,496.569 ,180.264 ,442.125 ,192.778 
100024,27.150 ,11.003 ,48.194 ,428.146 ,37.819 ,15.038 ,22.782 ,32.033 ,22.751 ,31.867 ,21.600 ,1205.306 ,168.750 ,47.333 ,41.081 ,447.778 ,167.958 ,406.528 ,174.194 
100025,27.175 ,10.684 ,48.653 ,411.634 ,37.395 ,15.455 ,21.941 ,31.627 ,21.041 ,31.700 ,21.819 ,1317.734 ,171.453 ,56.578 ,36.178 ,445.047 ,198.875 ,411.172 ,198.875 
100026,27.359 ,9.969 ,47.656 ,393.883 ,36.838 ,15.946 ,20.892 ,30.861 ,21.462 ,31.673 ,22.232 ,1477.746 ,222.085 ,71.915 ,35.614 ,497.704 ,238.789 ,406.113 ,238.789 
100027,27.012 ,11.571 ,48.591 ,462.371 ,37.838 ,14.038 ,23.800 ,32.217 ,22.628 ,32.095 ,20.984 ,1335.414 ,183.914 ,41.983 ,41.771 ,514.655 ,219.603 ,507.345 ,247.483 
100028,26.869 ,12.476 ,50.590 ,461.243 ,38.050 ,13.404 ,24.646 ,32.051 ,22.375 ,31.953 ,20.844 ,1329.472 ,185.278 ,45.111 ,42.426 ,522.389 ,204.972 ,492.444 ,232.222 
100029,26.834 ,12.984 ,51.395 ,459.145 ,38.386 ,13.122 ,25.264 ,32.044 ,22.411 ,31.917 ,20.842 ,1285.719 ,189.359 ,47.734 ,42.091 ,500.641 ,192.781 ,458.578 ,216.609 
100030,26.846 ,13.064 ,51.533 ,453.387 ,38.525 ,13.169 ,25.356 ,31.976 ,22.476 ,31.851 ,20.915 ,1247.083 ,186.542 ,47.875 ,42.610 ,487.056 ,180.750 ,439.194 ,202.319 
100031,26.931 ,12.679 ,51.189 ,444.396 ,38.092 ,13.347 ,24.744 ,32.014 ,22.625 ,31.840 ,21.131 ,1210.625 ,170.194 ,49.667 ,40.282 ,449.417 ,174.722 ,408.847 ,189.014 
100032,26.962 ,11.859 ,50.178 ,429.122 ,37.533 ,13.914 ,23.619 ,31.528 ,21.453 ,31.694 ,21.369 ,1296.125 ,173.922 ,58.172 ,35.080 ,437.000 ,212.234 ,396.391 ,214.266 
100033,27.245 ,10.573 ,48.237 ,408.933 ,37.108 ,15.212 ,21.896 ,31.443 ,21.116 ,31.727 ,21.910 ,1425.176 ,219.000 ,66.255 ,34.980 ,483.294 ,248.098 ,392.725 ,248.098 
100034,26.919 ,11.043 ,46.605 ,475.390 ,37.621 ,13.940 ,23.681 ,32.234 ,22.053 ,32.124 ,20.666 ,1323.966 ,176.776 ,41.776 ,40.595 ,506.207 ,217.466 ,493.224 ,252.052 
100035,26.787 ,12.189 ,49.159 ,475.779 ,38.086 ,13.298 ,24.787 ,32.152 ,21.916 ,32.014 ,20.538 ,1329.238 ,188.794 ,47.016 ,42.003 ,524.286 ,205.730 ,484.921 ,242.556 
100036,26.820 ,12.761 ,50.170 ,472.300 ,38.452 ,13.023 ,25.429 ,32.187 ,22.045 ,32.018 ,20.616 ,1297.518 ,192.036 ,49.625 ,42.279 ,508.732 ,194.375 ,462.268 ,227.857 
100037,26.811 ,12.776 ,50.233 ,467.589 ,38.444 ,13.000 ,25.444 ,32.114 ,22.132 ,31.967 ,20.659 ,1252.587 ,186.095 ,47.270 ,41.751 ,485.349 ,184.730 ,438.127 ,212.095 
100038,26.697 ,12.711 ,50.711 ,456.821 ,38.024 ,12.962 ,25.062 ,31.910 ,22.227 ,31.765 ,20.740 ,1251.222 ,173.429 ,49.079 ,38.949 ,456.841 ,185.714 ,419.889 ,207.921 
100039,26.779 ,11.668 ,49.279 ,439.884 ,37.484 ,13.821 ,23.663 ,31.412 ,22.537 ,31.638 ,21.045 ,1308.232 ,176.875 ,56.821 ,34.498 ,441.232 ,219.804 ,396.321 ,228.554 
100040,26.931 ,10.831 ,45.147 ,492.643 ,37.743 ,13.788 ,23.955 ,32.422 ,21.778 ,32.269 ,20.410 ,1329.776 ,172.388 ,47.898 ,37.241 ,491.020 ,224.898 ,473.163 ,263.245 
100041,26.787 ,11.950 ,47.760 ,488.635 ,38.253 ,13.238 ,25.015 ,32.297 ,21.694 ,32.139 ,20.343 ,1341.458 ,184.542 ,51.083 ,39.429 ,514.306 ,214.625 ,479.611 ,254.236 
